변수,변수군,r(Target),ρ(Target),차이,r(Token),왜도,std,VIF
Type,H. 원본,0.388,0.393,0.005,0.849,0.717,48.9299,
guiraud,A. 다양성,0.38,0.368,-0.013,0.364,0.217,1.2606,19.37
MTLD_valid,A. 다양성,0.346,0.347,0.0,0.094,0.644,11.0883,2.9
MTLD,H. 원본,0.346,0.344,-0.001,0.071,0.702,10.9448,
num_sent,H. 원본,0.341,0.37,0.03,0.623,1.078,10.095,
oov_ratio,D. 정확성,-0.315,-0.282,-0.033,-0.113,3.671,0.0207,1.71
len_z_in_prompt,F. 상대화,0.27,0.303,0.033,0.947,1.133,0.9753,5.92
Token,H. 원본,0.266,0.296,0.03,1.0,1.099,188.9192,
num_words3,H. 원본,0.265,0.295,0.03,0.999,1.109,186.3165,
mean_syllables,B. 수준,0.234,0.221,-0.012,-0.047,0.66,0.0931,5.48
mean_word_length,B. 수준,0.232,0.226,-0.007,-0.074,0.32,0.2756,6.23
long_word_ratio,B. 수준,0.21,0.199,-0.011,-0.072,0.424,0.0454,5.54
num_words,H. 원본,0.176,0.267,0.091,0.798,2.11,222.5912,
sent_per_para,E. 구문,0.176,0.295,0.12,0.241,3.897,2.8919,4.72
sent_length_std,E. 구문,-0.168,-0.178,0.011,0.165,6.558,14.0528,13.08
mean_sent_length,E. 구문,-0.162,-0.191,0.029,0.096,8.966,27.8279,2.02
sent_length_max,E. 구문,-0.139,-0.126,-0.013,0.28,5.065,42.1934,15.24
k2_ratio,B. 수준,0.132,0.147,0.016,-0.069,0.777,0.0237,inf
herdan_c,A. 다양성,0.121,0.113,-0.009,-0.417,-0.287,0.0307,90.61
hapax_ratio,D. 정확성,0.11,0.11,-0.0,-0.28,-0.329,0.0763,3.97
k1_ratio,B. 수준,-0.108,-0.126,0.018,0.111,-1.346,0.0463,inf
academic_suffix_ratio,B. 수준,0.102,0.13,0.028,-0.057,1.204,0.0174,1.5
function_word_ratio,C. 밀도,-0.095,-0.115,0.019,0.106,-0.394,0.0452,inf
lexical_density,C. 밀도,0.095,0.115,0.019,-0.106,0.394,0.0452,inf
num_word_div_para,H. 원본,0.071,0.194,0.123,0.317,5.539,72.3582,
mean_para_length,E. 구문,0.071,0.195,0.124,0.317,5.597,73.6959,4.35
flag_len_outlier,G. 플래그,0.058,0.051,-0.007,0.549,5.649,0.167,1.56
content_ttr,C. 밀도,0.05,0.053,0.003,-0.412,0.138,0.1078,17.9
beyond_2k_ratio,B. 수준,0.049,0.075,0.025,-0.091,2.168,0.0384,inf
soph_z_in_prompt,F. 상대화,0.047,0.072,0.025,-0.106,1.317,0.9941,6.96
flag_very_short,G. 플래그,-0.046,-0.054,0.008,-0.146,12.793,0.0773,1.4
prompt_freq,F. 상대화,-0.045,-0.036,-0.009,0.113,0.303,78.9533,1.24
repeat_bigram_ratio,D. 정확성,-0.038,-0.009,-0.028,-0.021,2.979,0.0017,1.02
n_pii,G. 플래그,0.03,0.036,0.007,0.121,10.183,1.9576,1.04
num_para,H. 원본,0.016,0.042,0.026,0.304,3.497,3.0251,
ttr_ratio,A. 다양성,-0.01,-0.001,-0.009,-0.65,0.447,0.0822,76.83
TTR,H. 원본,-0.01,-0.001,-0.009,-0.65,0.447,8.2212,
