,Ridge 계수,Lasso 계수,RF 중요도,|Ridge|,Ridge 순위,RF 순위,순위차
guiraud,0.1677,0.1627,0.1429,0.1677,1,1,0
oov_ratio,-0.1448,-0.1444,0.1209,0.1448,2,2,0
len_z_in_prompt,0.0693,0.0755,0.0863,0.0693,3,3,0
herdan_c,-0.065,-0.0381,0.0407,0.065,4,14,10
mean_word_length,0.0568,0.0585,0.0594,0.0568,5,8,3
sent_length_std,-0.0515,-0.0499,0.0495,0.0515,6,10,4
mean_syllables,0.0378,0.0328,0.0621,0.0378,7,7,0
MTLD_valid,0.0368,0.0269,0.0838,0.0368,8,4,4
sent_per_para,0.0334,0.0329,0.081,0.0334,9,5,4
clean_beyond_2k,0.0331,0.0309,0.0736,0.0331,10,6,4
mean_sent_length,-0.0226,-0.021,0.0494,0.0226,11,11,0
k2_ratio,-0.0148,-0.0092,0.0478,0.0148,12,12,0
hapax_ratio,0.0143,0.0,0.0474,0.0143,13,13,0
flag_very_short,0.014,0.0061,0.0001,0.014,14,15,1
academic_suffix_ratio,-0.0036,-0.0,0.0551,0.0036,15,9,6
